Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,CUST_BREAKDOWN,COMPOSITE_BREAKDOWN,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,CUST_BREAKDOWN_LB,Value
2020,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BV,24,C591,None,T,2024-05-16T00:00:00,2010-2022,Panama,9.0
2021,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BV,24,C591,None,T,2024-05-16T00:00:00,2010-2022,Panama,8.0
2022,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BV,24,C591,None,T,2024-05-16T00:00:00,2010-2022,Panama,6.0
2020,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BV,24,C620,None,T,2024-05-16T00:00:00,2010-2022,Portugal,0.0
2021,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BV,24,C620,None,T,2024-05-16T00:00:00,2010-2022,Portugal,0.0
2022,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BV,24,C620,None,T,2024-05-16T00:00:00,2010-2022,Portugal,0.0
2017,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BV,24,C624,None,T,2024-05-16T00:00:00,2010-2022,Guinea-Bissau,1.0
2018,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BV,24,C624,None,T,2024-05-16T00:00:00,2010-2022,Guinea-Bissau,1.0
2019,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BV,24,C624,None,T,2024-05-16T00:00:00,2010-2022,Guinea-Bissau,1.0
2020,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BV,24,C624,None,T,2024-05-16T00:00:00,2010-2022,Guinea-Bissau,0.0
